dic 31 01:27:20|5[info]31/12/2014 01:27:20 - [UTENTE = alberto][REMOTE IP = 82.48.195.196][act = Search][only_disp = 1][search = 1][pageID = 2][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
dic 31 01:27:23|5[info]31/12/2014 01:27:23 - [UTENTE = alberto][REMOTE IP = 82.48.195.196][act = Search][only_disp = 1][search = 1][pageID = 1][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
dic 31 01:27:25|5[info]31/12/2014 01:27:25 - [UTENTE = alberto][REMOTE IP = 82.48.195.196][act = Search][only_disp = 1][search = 1][pageID = 2][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
dic 31 01:27:38|5[info]31/12/2014 01:27:38 - [UTENTE = alberto][REMOTE IP = 82.48.195.196][act = Search][only_disp = 1][search = 1][pageID = 1][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
dic 31 01:27:40|5[info]31/12/2014 01:27:40 - [UTENTE = alberto][REMOTE IP = 82.48.195.196][act = Search][only_disp = 1][search = 1][pageID = 2][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
dic 31 01:27:41|5[info]31/12/2014 01:27:41 - [UTENTE = alberto][REMOTE IP = 82.48.195.196][act = Search][only_disp = 1][search = 1][pageID = 3][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
dic 31 01:27:45|5[info]31/12/2014 01:27:45 - [UTENTE = alberto][REMOTE IP = 82.48.195.196][act = Search][only_disp = 1][search = 1][pageID = 2][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
dic 31 01:27:51|5[info]31/12/2014 01:27:51 - [UTENTE = alberto][REMOTE IP = 82.48.195.196][act = Search][only_disp = 1][search = 1][pageID = 3][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
dic 31 01:27:54|5[info]31/12/2014 01:27:54 - [UTENTE = alberto][REMOTE IP = 82.48.195.196][act = Search][only_disp = 1][search = 1][pageID = 2][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
dic 31 01:28:02|5[info]31/12/2014 01:28:02 - [UTENTE = alberto][REMOTE IP = 82.48.195.196][act = Search][only_disp = 1][search = 1][pageID = 2][is_ajax = 1][layout = thumb][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
dic 31 01:28:06|5[info]31/12/2014 01:28:06 - [UTENTE = alberto][REMOTE IP = 82.48.195.196][act = Search][only_disp = 1][search = 1][pageID = 3][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
dic 31 01:28:09|5[info]31/12/2014 01:28:09 - [UTENTE = alberto][REMOTE IP = 82.48.195.196][act = Search][gm = 10][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
dic 31 01:28:11|5[info]31/12/2014 01:28:11 - [UTENTE = alberto][REMOTE IP = 82.48.195.196][act = Search][reset = 1][pageID = 1][only_disp = 1][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
dic 31 01:28:14|5[info]31/12/2014 01:28:14 - [UTENTE = alberto][REMOTE IP = 82.48.195.196][act = Search][reset = 1][rowForPage = 24][pageID = 1][only_disp = 1][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
dic 31 01:28:25|5[info]31/12/2014 01:28:25 - [UTENTE = alberto][REMOTE IP = 82.48.195.196][act = Search][gm = 10][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
dic 31 01:28:57|5[info]31/12/2014 01:28:57 - [UTENTE = alberto][REMOTE IP = 82.48.195.196][act = Search][gm = 10][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
dic 31 01:29:09|5[info]31/12/2014 01:29:09 - [UTENTE = alberto][REMOTE IP = 82.48.195.196][act = ShoppingCart][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
